domain,polarity
washingtonbabylon.com,Left
washingtonpress.com,Left
washingtonsources.org,Left
washingtonian.com,Left
wearyourvoicemag.com,Left
wehuntedthemammoth.com,Left
whatmattersnews.com,Left
whitehousewatch.com,Left
whowhatwhy.org,Left
wonkette.com,Left
workers.org,Left
wsws.org,Left
yesmagazine.org,Left
tytnetwork.com,Left
yourblackworld.net,Left
zcomm.org,Left
